id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x694c,2006,4814,5416,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x694c,1981,4926,5445,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,0,100316500,403,120,487,-1449,-772,-516,-650,-1151,4178,1457,224,-35,-11386,1214,1622,11605,165,84,-462,237,36,950,32
0x694c,2019,4985,5516,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,67,7310,582,100313500,307,-187,859,-1582,224,-425,222,-492,441,1083,364,181,-13273,3077,1847,8910,-71,-9,-27,379,-178,886,32
0x694c,2022,4918,5429,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,67,7310,582,100317000,573,-282,686,-1280,224,76,516,-595,-90,872,622,200,-13657,3813,4249,7023,-46,-59,-90,619,-170,748,32
0x694c,1706,4661,-129,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,67,7310,582,100313000,562,-124,801,-1160,638,236,36,153,-51,855,571,142,-13889,3236,4008,7000,-9,-1,5,573,-124,785,32
0x694c,2056,4907,5422,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,138,7564,625,100312750,515,-78,825,-280,1190,774,-80,107,-32,924,525,86,-13747,2832,3731,7585,-16,0,5,531,-77,820,32
0x694c,1946,4894,5480,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,26,7483,730,100314500,495,-58,812,302,1424,1070,-51,92,-34,947,504,76,-13698,2724,3575,7786,-16,10,-20,512,-69,833,32
0x694c,1995,4956,5468,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,346,7551,397,100313250,487,-88,812,648,1710,1260,-69,-7,-9,963,499,90,-13637,2830,3458,7905,-20,-6,-21,508,-82,834,32
0x694c,2001,4951,5426,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,193,7550,524,100310000,482,-78,807,683,1739,1419,-7,-2,-12,980,500,87,-13559,2852,3445,8036,-25,1,-26,508,-80,834,32
0x694c,2013,4942,5427,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
